"t","automation","employment_rate","avg_wage","share_high_skill"
1,0.05,0.91,25.61575,0.3665
2,0.05,0.9035,25.5518,0.3725
3,0.05,0.9125,25.926275,0.3805
4,0.05,0.9135,26.016305,0.3855
5,0.05,0.91,26.06009,0.389
6,0.05,0.914,26.16386,0.393
7,0.05,0.9155,26.281815,0.399
8,0.05,0.9125,26.319345,0.4045
9,0.05,0.912,26.35978,0.4125
10,0.05,0.9195,26.641935,0.4175
11,0.08,0.9,26.404656,0.427
12,0.11,0.891,26.461518,0.434
13,0.14,0.8755,26.339566,0.444
14,0.17,0.859,26.279693,0.455
15,0.2,0.8585,26.56966,0.466
16,0.23,0.859,27.081859,0.4785
17,0.26,0.83,26.781332,0.488
18,0.29,0.828,27.100226,0.498
19,0.32,0.835,27.738352,0.5095
20,0.35,0.804,27.24405,0.521
21,0.38,0.8045,27.774746,0.5345
22,0.41,0.7875,27.937343,0.5485
23,0.44,0.789,28.502544,0.565
24,0.47,0.78,28.952649,0.577
25,0.5,0.781,29.44005,0.5895
26,0.53,0.7905,30.235172,0.602
27,0.56,0.771,30.430712,0.6185
28,0.59,0.7745,31.123832,0.6365
29,0.62,0.778,31.951942,0.6525
30,0.65,0.7795,32.691365,0.6645
31,0.68,0.779,33.415444,0.68
32,0.71,0.7835,34.16787,0.695
33,0.74,0.781,34.703244,0.709
34,0.77,0.7835,35.762842,0.7235
35,0.8,0.801,36.76728,0.738
36,0.83,0.797,37.425915,0.7555
37,0.86,0.7995,38.278086,0.7655
38,0.89,0.791,38.581425,0.7785
39,0.92,0.7975,39.65444,0.793
40,0.95,0.816,40.99225,0.8065
41,0.98,0.803,41.354568,0.8185
42,1,0.8215,42.4186,0.827
43,1,0.8265,42.6468,0.8405
44,1,0.8405,43.6184,0.85
45,1,0.835,43.5148,0.862
46,1,0.844,44.1259,0.868
47,1,0.8595,44.7615,0.874
48,1,0.861,44.898,0.885
49,1,0.8745,45.6729,0.8895
50,1,0.866,45.3719,0.901
51,1,0.8835,46.2651,0.909
52,1,0.887,46.6025,0.9155
53,1,0.8895,46.9245,0.9215
54,1,0.905,47.5601,0.9285
55,1,0.906,47.5377,0.934
56,1,0.907,47.8177,0.9375
57,1,0.917,48.3308,0.942
58,1,0.9185,48.4673,0.943
59,1,0.9205,48.5359,0.9475
60,1,0.9185,48.4862,0.951
